ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2022,29,BA,292467,PIRAI DO NORTE,93.0,1.0,10.752688172043012
2022,29,BA,292470,PIRIPA,89.0,0.0,0.0
2022,29,BA,292480,PIRITIBA,172.0,2.0,11.627906976744185
2022,29,BA,292490,PLANALTINO,60.0,0.0,0.0
2022,29,BA,292500,PLANALTO,287.0,3.0,10.452961672473869
2022,29,BA,292510,POCOES,562.0,6.0,10.676156583629894
2022,29,BA,292520,POJUCA,374.0,6.0,16.0427807486631
2022,29,BA,292525,PONTO NOVO,255.0,5.0,19.607843137254903
2022,29,BA,292530,PORTO SEGURO,2775.0,37.0,13.333333333333334
2022,29,BA,292540,POTIRAGUA,102.0,1.0,9.803921568627452
2022,29,BA,292550,PRADO,535.0,7.0,13.08411214953271
2022,29,BA,292560,PRESIDENTE DUTRA,160.0,2.0,12.5
2022,29,BA,292570,PRESIDENTE JANIO QUADROS,121.0,5.0,41.32231404958678
2022,29,BA,292575,PRESIDENTE TANCREDO NEVES,379.0,4.0,10.554089709762533
2022,29,BA,292580,QUEIMADAS,255.0,5.0,19.607843137254903
2022,29,BA,292590,QUIJINGUE,309.0,6.0,19.41747572815534
2022,29,BA,292593,QUIXABEIRA,81.0,2.0,24.691358024691358
2022,29,BA,292595,RAFAEL JAMBEIRO,203.0,0.0,0.0
2022,29,BA,292600,REMANSO,536.0,7.0,13.059701492537313
2022,29,BA,292610,RETIROLANDIA,201.0,2.0,9.950248756218905
2022,29,BA,292620,RIACHAO DAS NEVES,263.0,6.0,22.813688212927758
2022,29,BA,292630,RIACHAO DO JACUIPE,393.0,4.0,10.178117048346056
2022,29,BA,292640,RIACHO DE SANTANA,291.0,1.0,3.4364261168384878
2022,29,BA,292650,RIBEIRA DO AMPARO,147.0,2.0,13.605442176870747
2022,29,BA,292660,RIBEIRA DO POMBAL,753.0,14.0,18.59229747675963
2022,29,BA,292665,RIBEIRAO DO LARGO,105.0,1.0,9.523809523809526
2022,29,BA,292670,RIO DE CONTAS,118.0,3.0,25.423728813559325
2022,29,BA,292680,RIO DO ANTONIO,141.0,3.0,21.27659574468085
2022,29,BA,292690,RIO DO PIRES,71.0,3.0,42.25352112676056
2022,29,BA,292700,RIO REAL,438.0,9.0,20.54794520547945
2022,29,BA,292710,RODELAS,151.0,3.0,19.867549668874172
2022,29,BA,292720,RUY BARBOSA,343.0,4.0,11.661807580174926
2022,29,BA,292730,SALINAS DA MARGARIDA,176.0,5.0,28.409090909090907
2022,29,BA,292740,SALVADOR,27167.0,466.0,17.15316376486178
2022,29,BA,292750,SANTA BARBARA,189.0,5.0,26.455026455026452
2022,29,BA,292760,SANTA BRIGIDA,201.0,4.0,19.90049751243781
2022,29,BA,292770,SANTA CRUZ CABRALIA,431.0,6.0,13.921113689095128
2022,29,BA,292780,SANTA CRUZ DA VITORIA,64.0,1.0,15.625
2022,29,BA,292790,SANTA INES,101.0,3.0,29.7029702970297
2022,29,BA,292800,SANTALUZ,498.0,7.0,14.056224899598392
2022,29,BA,292805,SANTA LUZIA,135.0,2.0,14.814814814814815
2022,29,BA,292810,SANTA MARIA DA VITORIA,474.0,10.0,21.09704641350211
2022,29,BA,292820,SANTANA,272.0,3.0,11.029411764705882
2022,29,BA,292830,SANTANOPOLIS,62.0,0.0,0.0
2022,29,BA,292840,SANTA RITA DE CASSIA,339.0,6.0,17.699115044247787
2022,29,BA,292850,SANTA TEREZINHA,131.0,1.0,7.633587786259541
2022,29,BA,292860,SANTO AMARO,535.0,9.0,16.822429906542055
2022,29,BA,292870,SANTO ANTONIO DE JESUS,1233.0,21.0,17.0316301703163
2022,29,BA,292880,SANTO ESTEVAO,642.0,7.0,10.903426791277258
2022,29,BA,292890,SAO DESIDERIO,583.0,7.0,12.006861063464836
2022,29,BA,292895,SAO DOMINGOS,94.0,2.0,21.27659574468085
2022,29,BA,292900,SAO FELIX,123.0,4.0,32.520325203252035
2022,29,BA,292905,SAO FELIX DO CORIBE,236.0,4.0,16.949152542372882
2022,29,BA,292910,SAO FELIPE,174.0,4.0,22.988505747126435
2022,29,BA,292920,SAO FRANCISCO DO CONDE,431.0,8.0,18.561484918793504
2022,29,BA,292925,SAO GABRIEL,218.0,1.0,4.587155963302752
