-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
292800,2928000,Santaluz,BA,Nordeste,NE,2,2022,Secretaria de serviços Publicos,PMS,Local,Administração pública direta,Res. Sólidos ,33998.76,3.58,47.4,82.78,17.22,13.89,60.23,0,150.35,422.46,11.05,18.89,0.19,,11.76,88.66,56.67,5.56
220930,2209302,Santa Luz,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Luz,PMSL,Local,Administração pública direta,Res. Sólidos ,21210.95,1,,78.57,21.43,,74.96,100,,,,,2.74,,,,,
292805,2928059,Santa Luzia,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Luzia,PMSL,Local,Administração pública direta,Res. Sólidos ,68085.11,7.5,,100,0,4.26,74.7,0,8248.14,,,6.38,2.04,0.19,0,,42.55,21.28
211000,2110005,Santa Luzia,MA,Nordeste,NE,2,2022,Prefeitura Municipal de Santa Luzia,PMSL,Local,Administração pública direta,Res. Sólidos ,24961.41,1.59,,0,100,,39.69,99.86,,,,,1.04,,,,,
315780,3157807,Santa Luzia,MG,Sudeste,SE,3,2022,Superintendência  de Limpeza Urbana,SLU,Local,Administração pública direta,Res. Sólidos ,69083.99,1.2,99.56,0.46,99.54,3.69,97.35,82.46,2396.17,161.23,61.3,35.02,0.73,,100,5,15.67,39.17
251340,2513406,Santa Luzia,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Luzia,PMSL,Local,Administração pública direta,Res. Sólidos ,94596.28,2.89,88.32,42.11,57.89,10.53,91.54,95.02,1412.14,243.96,59.99,52.63,0.88,0.13,0,11.68,36.84,0
110029,1100296,Santa Luzia D Oeste,RO,Norte,N ,1,2022,Prefeitura Municipal de Santa Luzia DOeste,PMSLDO,Local,Empresa pública,Res. Sólidos ,25714.29,0.71,27.78,100,0,0,42.66,15.9,399.36,200,55.56,57.14,0.51,,,16.67,0,28.57
280630,2806305,Santa Luzia do Itanhy,SE,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Luzia do Itanhi,PMSLI,Local,Administração pública direta,Res. Sólidos ,10714.29,0.3,,85.71,14.29,,50.09,1.03,,,,,0.47,,,,,
150655,1506559,Santa Luzia do Pará,PA,Norte,N ,1,2022,Prefeitura Municipal de Santa Luzia do pará,PMSL,Local,Administração pública direta,Res. Sólidos ,31830.66,2.17,0,100,0,10.71,44.18,0,2076.28,206.25,60.16,14.29,1.58,0.01,0,15.87,21.43,41.07
211003,2110039,Santa Luzia do Paruá,MA,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Luzia do Paruá,PMSLP,Local,Administração pública direta,Res. Sólidos ,41733.04,3.33,94.83,11.94,88.06,1.49,75.41,100,3152.34,84.33,47.61,23.88,2.36,,81.82,14.56,32.84,28.36
431697,4316972,Santa Margarida do Sul,RS,Sul,S ,1,2022,Prefeitura Municipal de Santa Margarida do Sul,PMSMS,Local,Administração pública direta,Res. Sólidos ,76989.77,3.09,34.44,66.67,33.33,11.11,53.85,100,370.61,661.69,33.23,33.33,0.68,0.09,,0,0,0
240933,2409332,Santa Maria,RN,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE SANTA MARIA,PMSM,Local,Administração pública direta,Res. Sólidos ,58431.89,2.99,,0,100,,75.2,100,,,,,0.83,0.27,,,,
431690,4316907,Santa Maria,RS,Sul,S ,4,2022,SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS,SMISP,Local,Administração pública direta,Res. Sólidos ,128210.9,4.21,100,0,100,3.06,99.96,100,3158.7,250.63,62.45,32.31,0.74,,100,6.81,19.21,34.5
261260,2612604,Santa Maria da Boa Vista,PE,Nordeste,NE,2,2022,Prefeitura Municipal Santa Maria da Boa Vista,PMSMBV,Local,Administração pública direta,Res. Sólidos ,48461.54,0.89,0,100,0,7.69,29.57,100,1277.96,225,57.14,30.77,0.39,,0,23.81,30.77,15.38
150658,1506583,Santa Maria das Barreiras,PA,Norte,N ,1,2022,Prefeitura Municipal de Santa Maria Das Barreiras,PMSMB,Local,Administração pública direta,Res. Sólidos ,53166.67,5.23,0,100,0,8.33,39.38,1.55,3448.08,46.56,15.75,16.67,1.81,1.55,0,27.43,25,16.67
354700,3547007,Santa Maria da Serra,SP,Sudeste,SE,1,2022,Prefeitura do Município Santa Maria da Serra,PMSMS,Local,Administração pública direta,Res. Sólidos ,24500,9.9,7.14,100,0,,96.74,0,,26.92,48.98,,0.96,0.84,,43.88,,
292810,2928109,Santa Maria da Vitória,BA,Nordeste,NE,2,2022,Secretaria Municipal de Obras e Serviços Públicos,SMOSP,Local,Administração pública direta,Res. Sólidos ,,4.46,81.89,,,,99.99,94.74,3428.49,173.99,42.47,16.36,1.37,0.07,65.57,33.57,55.45,13.64
315800,3158003,Santa Maria de Itabira,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Maria de Itabira,PMSMI,Local,Administração pública direta,Res. Sólidos ,92776.26,4.11,49.11,100,0,,88.09,0,,123.78,8.78,,0.45,0.26,,91.1,,
320455,3204559,Santa Maria de Jetibá,ES,Sudeste,SE,2,2022,Secretaria Municipal de Serviços Urbanos,SECURB,Local,Administração pública direta,Res. Sólidos ,58585.08,3.87,,100,0,3.08,71.68,6.07,695.38,,,20,0.55,0.43,0,,72.31,3.08
261270,2612703,Santa Maria do Cambucá,PE,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Maria do Cambucá,PMSMC,Local,Administração pública direta,Res. Sólidos ,94333.21,3.29,100,0,100,5.88,60.09,100,1863.68,376.61,82.2,35.29,1.14,,100,15.47,47.06,11.76
431695,4316956,Santa Maria do Herval,RS,Sul,S ,1,2022,Secretaria Municipal de Obras e Serviços Públicos,SMOSP,Local,Administração pública direta,Res. Sólidos ,57312.7,1.72,,63.64,36.36,,98.47,100,,,,,0.39,,,,,
412385,4123857,Santa Maria do Oeste,PR,Sul,S ,1,2022,Prefeitura de Santa Maria do Oeste,PSMO,Local,Administração pública direta,Res. Sólidos ,32238.63,0.54,100,100,0,0,39.88,0,266.24,408,45.2,42.86,0.17,2,0,9.36,28.57,28.57
150660,1506609,Santa Maria do Pará,PA,Norte,N ,1,2022,"Secretaria Municipal Obras, Urbanismo e Saneamento",SEMOUSA,Local,Administração pública direta,Res. Sólidos ,,3.12,0,,,,99.83,0,2875.4,126.67,24.05,35.71,0.5,,0,14.77,35.71,14.29
315810,3158102,Santa Maria do Salto,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Maria do Salto,PMSMS,Local,Administração pública direta,Res. Sólidos ,19840,5.53,0,100,0,0,98.13,0,1469.65,77.91,36.13,20,1.35,0.43,0,63.87,64,16
315820,3158201,Santa Maria do Suaçuí,MG,Sudeste,SE,1,2022,SECRETARIA MUNICIPAL DE MEIO AMBIENTE,SEMMA,Local,Administração pública direta,Res. Sólidos ,18289.57,3.19,,100,0,,73.69,0,,,,,0.84,,,,,
171888,1718881,Santa Maria do Tocantins,TO,Norte,N ,1,2022,diretoria de obras e serviços urbanos,dosu,Local,Administração pública direta,Res. Sólidos ,62173.75,3.33,,100,0,,56.87,0,,,,,0.71,,,,,
330460,3304607,Santa Maria Madalena,RJ,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Maria Madalena,PMSMM,Local,Administração pública direta,Res. Sólidos ,33903.49,3.05,56.06,55.56,44.44,,93.82,2.54,,252.5,31.26,,0.97,,,45.04,,
412390,4123907,Santa Mariana,PR,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE SANTA MARIANA,PMSM,Local,Administração pública direta,Res. Sólidos ,67391.47,1.63,0,100,0,16.67,72.29,26.16,958.47,223.56,67.39,50,0.83,0.08,0,7.42,16.67,16.67
